best_des,best_exp,best_idx,best_logp,cycle,depth,genotype,logp_below_-40,logp_positive,n_cells,n_obj,n_subG,n_subG_zero_dng,n_subG_zero_photon,n_valid,phase,run,sub_dng_med,sub_dng_min,sub_phot_med,sub_phot_min,sub_pnr_max,target
"[4.0, 5.867485848423844, 9.843945221516607, 1.6084068270341674]",1.0016419390228486,10120,-3.170331756971956,c0,d3,B30F,0,0,20250,2,0,,,6982,A_b30f,output/experiments/B30F_c30_a1p41_b1p41/20260706-170118_p64_i4000,,,,,,a1p41_b1p41
"[4.0, 8.88348321714389, 8.8902531546612, 1.6271117975196923]",1.001405998398516,10975,-3.4148480237215333,c0,d3,B30F,0,0,20250,2,0,,,6620,A_b30f,output/experiments/B30F_c30_a1p41_b1p41/20260706-194324_p64_i4000,,,,,,a1p41_b1p41
"[2.0, 7.999933922044659, 15.999867844089318, 4.603583867086666]",0.8738833369778897,6162,-2.8015749723914727,c0,d3,B30F,0,0,20250,2,4,0,0,6413,A_b30f,output/experiments/B30F_c30_a1p41_b1p41/20260706-221602_p64_i4000,4.617528011187927,4.603583867086666,15.999853088822313,15.999838333555306,7.999933922044659,a1p41_b1p41
"[2.0, 7.999933911182467, 15.999867822364934, 4.6035916689134595]",0.8737658102003517,6162,-2.801574987041425,c0,d3,B30F,0,0,20250,2,4,0,0,6627,A_b30f,output/experiments/B30F_c30_a1p41_b1p41/20260707-004832_p64_i4000,4.631481589019362,4.6035916689134595,15.999838324742571,15.999838324742571,7.999933911182467,a1p41_b1p41
"[2.0, 9.999874638266425, 19.99974927653285, 4.38376758297483]",0.7006447715509561,6704,-3.0970844824334653,c0,d4,B30F,0,0,38250,2,21,0,0,5923,A_b30f,output/experiments/B30F_c30_a1p41_b1p41/20260708-063615_p64_i1500,4.406515496980521,4.322705432701973,19.999710492562453,17.99973944331482,9.999903105880295,a1p41_b1p41
"[5.0, 9.999695528732586, 21.999205670603228, 4.352094599757837]",0.6687292334767951,13496,-5.754065452783977,c0,d4,B30F,0,0,38250,2,52,0,0,5865,A_b30f,output/experiments/B30F_c30_a1p41_b1p41/20260708-081138_p64_i1500,4.352094599757839,3.772489343030159,18.71872781662217,13.99967631500056,9.99991563505486,a1p41_b1p41
"[5.0, 9.999632342301924, 20.673631224015978, 4.378158040281264]",0.6675654041667642,13451,-5.744088846145153,c0,d4,B30F,0,0,38250,2,55,0,0,5973,A_b30f,output/experiments/B30F_c30_a1p41_b1p41/20260708-093705_p64_i1500,4.352100425175255,3.7988280478903924,17.999761478636792,15.999448554169113,9.999868568188875,a1p41_b1p41
"[5.0, 9.999632342280348, 20.673631215265125, 4.378158049509661]",0.6675654038620624,13450,-5.744088845900791,c0,d4,B30F,0,0,38250,2,57,0,0,5829,A_b30f,output/experiments/B30F_c30_a1p41_b1p41/20260708-110218_p64_i1500,4.352100425173589,3.812991758646941,17.99981989993224,13.999560168929971,9.999889989496765,a1p41_b1p41
"[5.0, 5.999905356594345, 13.999777626342542, 3.960648249833463]",0.7129895935665482,12416,-5.3966795028189045,c0,d5,B30F,0,0,74250,2,14,0,0,4843,A_b30f,output/experiments/B30F_c30_a1p41_b1p41/20260708-174049_p64_i800,3.960648249833463,3.9606482498334525,13.999777626342542,13.999667905333782,5.999905356594345,a1p41_b1p41
"[5.0, 9.999632342280348, 20.673631215265125, 4.378158009383672]",0.6675654038620625,13450,-5.744088845900791,c0,d5,B30F,0,0,74250,2,24,0,0,4839,A_b30f,output/experiments/B30F_c30_a1p41_b1p41/20260708-192722_p64_i800,4.352100425173589,3.8129792043082062,20.673631215265125,17.999338216091523,9.99980738206403,a1p41_b1p41
"[5.0, 9.99964218051311, 21.999063887937258, 4.416366950295426]",0.6669198938601297,13495,-5.743386830537469,c0,d5,B30F,0,0,74250,2,38,0,0,4894,A_b30f,output/experiments/B30F_c30_a1p41_b1p41/20260708-210024_p64_i800,4.38907357770502,3.8424725641288884,19.999620251114997,15.99952371067519,9.999821703381679,a1p41_b1p41
"[5.0, 9.999642180489829, 20.70148911830169, 4.41636673180853]",0.6669174721543771,13450,-5.743386829932025,c0,d5,B30F,0,0,74250,2,36,0,0,4879,A_b30f,output/experiments/B30F_c30_a1p41_b1p41/20260708-223318_p64_i800,4.366364185680583,3.8397551358451008,19.99962025107775,17.999355917538416,9.999876478529666,a1p41_b1p41
"[3.0, 7.999956622623324, 23.999718512439138, 4.828723142721039]",0.8400293896512965,8546,-4.250227185006521,c1,d3,B30F,0,0,20250,2,4,0,0,6828,A_b30f,output/experiments/B30F_c30_a1p41_b1p41/20260709-070439_p64_i4000,4.829003916980675,4.828723142721039,23.999718550923625,23.999718512439138,7.999956622623324,a1p41_b1p41
"[3.0, 7.961308618932929, 11.947175353763267, 1.6212228718920216]",1.0014046251619735,8365,-2.6203186961284506,c1,d3,B30F,0,0,20250,2,0,,,6428,A_b30f,output/experiments/B30F_c30_a1p41_b1p41/20260709-094250_p64_i4000,,,,,,a1p41_b1p41
"[2.0, 9.999874638266425, 19.99974927653285, 4.38376758297483]",0.7006447715509561,6704,-3.0970844824334653,c1,d4,B30F,0,0,38250,2,21,0,0,5923,A_b30f,output/experiments/B30F_c30_a1p41_b1p41/20260709-203845_p64_i1500,4.406515496980521,4.322705432701973,19.999710492562453,17.99973944331482,9.999903105880295,a1p41_b1p41
"[4.0, 3.9686754220394627, 6.195429109802257, 1.6278148549946867]",1.0016491655058597,10030,-2.239466216887662,c1,d4,B30F,0,0,38250,2,0,,,5758,A_b30f,output/experiments/B30F_c30_a1p41_b1p41/20260709-220646_p64_i1500,,,,,,a1p41_b1p41
"[5.0, 5.999905356594345, 13.999777626342542, 3.960648249833463]",0.7129895935665482,12416,-5.3966795028189045,c1,d5,B30F,0,0,74250,2,14,0,0,4843,A_b30f,output/experiments/B30F_c30_a1p41_b1p41/20260710-043834_p64_i800,3.960648249833463,3.9606482498334525,13.999777626342542,13.999667905333782,5.999905356594345,a1p41_b1p41
"[5.0, 9.99964218153657, 22.322337275474002, 4.416367760136378]",0.6669098308474267,13495,-5.7433868299006825,c1,d5,B30F,0,0,74250,2,26,0,0,4847,A_b30f,output/experiments/B30F_c30_a1p41_b1p41/20260710-061227_p64_i800,4.389073661191915,3.9452306663009438,20.701488660752688,17.99946445554035,9.999810126537032,a1p41_b1p41
"[5.0, 9.99964218153657, 21.9990638895624, 4.416367760136406]",0.6669098308469942,13498,-5.743386829900657,c1,d5,B30F,0,0,74250,2,32,0,0,4765,A_b30f,output/experiments/B30F_c30_a1p41_b1p41/20260710-074553_p64_i800,4.389074242592745,3.885831469425309,20.350446651130305,17.999374518853987,9.999810126532712,a1p41_b1p41
"[2.0, 9.998815952919722, 12.998787207977157, 2.1518457033855065]",1.1201750331903368,6566,-2.8133449147438423,c0,d3,B30F,0,0,20250,2,0,,,6979,A_b30f,output/experiments/B30F_c30_a2p73_b1p41/20260702-210624_p64_i4000,,,,,,a2p73_b1p41
"[3.0, 8.999907969167017, 22.999738005751595, 5.198185600639377]",1.0096595639041495,8995,-4.066045282099959,c0,d3,B30F,0,0,20250,2,5,0,0,6396,A_b30f,output/experiments/B30F_c30_a2p73_b1p41/20260703-005408_p64_i4000,5.198185600639377,5.198185600639377,22.999738005751595,22.999738005751595,8.999907969167017,a2p73_b1p41
"[4.0, 5.999896005906053, 13.999731728288406, 2.697346454477832]",0.9506806693797556,10165,-4.341885365504188,c0,d3,B30F,0,0,20250,2,17,0,0,6158,A_b30f,output/experiments/B30F_c30_a2p73_b1p41/20260703-042633_p64_i4000,2.697346454477832,1.403809928585113,13.999731728288406,11.998594984365482,8.999907969164871,a2p73_b1p41
"[3.0, 7.99989706293335, 15.999807610173796, 4.105972596723118]",0.6173914119534155,8410,-3.711748031755118,c0,d3,B30F,0,0,20250,2,28,0,0,6224,A_b30f,output/experiments/B30F_c30_a2p73_b1p41/20260703-080238_p64_i4000,3.8259670516219115,1.403809931151541,15.998828131820463,5.9999206026150675,9.99984297901874,a2p73_b1p41
"[3.0, 7.999891076091259, 15.999797133855553, 4.037681128354134]",0.5951960274940162,8414,-3.741612063252108,c0,d3,B30F,0,0,20250,2,34,0,0,6032,A_b30f,output/experiments/B30F_c30_a2p73_b1p41/20260703-113330_p64_i4000,3.9516305885902945,1.314367153617921,17.999632488240156,5.999920602615069,9.999913139745887,a2p73_b1p41
"[3.0, 7.9998910760898925, 15.999797133853031, 4.037681123682205]",0.5951960275154858,8410,-3.7416120622311206,c0,d3,B30F,0,0,20250,2,34,0,0,6024,A_b30f,output/experiments/B30F_c30_a2p73_b1p41/20260703-150725_p64_i4000,3.9029264584031456,1.314367139790157,17.999634846750702,12.999579506344475,9.999873758030212,a2p73_b1p41
"[4.0, 7.9998910760898925, 16.999790594196597, 4.037681123682255]",0.5932506814309603,10705,-5.152329626180074,c0,d4,B30F,0,0,38250,2,45,0,0,5229,A_b30f,output/experiments/B30F_c30_a2p73_b1p41/20260704-071602_p64_i1500,4.037681123682255,3.1633203287093723,16.99971454950111,15.999722417643664,9.999923657356874,a2p73_b1p41
"[4.0, 7.9998910760898925, 15.999797133853031, 4.037681123682251]",0.5932506814309666,10660,-4.745735536704446,c0,d4,B30F,0,0,38250,2,74,0,0,5412,A_b30f,output/experiments/B30F_c30_a2p73_b1p41/20260704-092202_p64_i1500,4.037681123682248,1.3143671398281995,15.999797133853031,12.999579506338836,9.999913630234794,a2p73_b1p41
"[4.0, 7.999891919045212, 15.999798710671916, 4.037479498698154]",0.5911937439737882,10662,-4.748345185664771,c0,d5,B30F,0,0,74250,2,21,0,0,4538,A_b30f,output/experiments/B30F_c30_a2p73_b1p41/20260704-185844_p64_i800,4.037477043366229,1.3143671398281995,15.999722417643664,11.999758300857883,9.999714015720485,a2p73_b1p41
"[4.0, 7.999851198761347, 15.999722417643664, 4.100084196195377]",0.5788361752888526,10661,-4.584158150068752,c0,d5,B30F,0,0,74250,2,44,0,0,4546,A_b30f,output/experiments/B30F_c30_a2p73_b1p41/20260704-212609_p64_i800,3.8499823406463554,1.1424152377677048,13.999760124691996,5.9999459581575305,9.999778713953255,a2p73_b1p41
"[3.0, 5.99990311737796, 13.999765827586755, 4.020305167277515]",0.5754837025617355,7916,-3.5204738676722505,c0,d5,B30F,0,0,74250,2,24,0,0,4719,A_b30f,output/experiments/B30F_c30_a2p73_b1p41/20260704-233438_p64_i800,2.6489570274964453,1.3143671398281995,13.36081963821766,3.998976877130392,9.999714015720485,a2p73_b1p41
