key,run,cell,exp_stored,logp_stored,target,genotype,depth,phase,cycle,des,exp_hi,drift,tail,logP,n_eff,max_eff,n_active,vs_gaussian,vs_gn,verdict
a1p41_b1p41|output/experiments/B30_c30_a1p41_b1p41/20260708-060736_p64_i300|1|0.5099444,output/experiments/B30_c30_a1p41_b1p41/20260708-060736_p64_i300,1,0.5099444293646789,-7.617400606579496,a1p41_b1p41,B30,3,C,c0,"[3.0, 5.999843583964837, 17.99915756708583, 3.922996474247144]",0.5102444996898559,0.00030007032517698207,1.2139798469581868e-18,-7.617343629109216,17.99915756708583,5.999843583964837,3.0,-0.4493155003101441,-0.4876795003101442,valid
a1p41_b1p41|output/experiments/B30_c30_a1p41_b1p41/20260708-062904_p64_i300|1|0.5118963,output/experiments/B30_c30_a1p41_b1p41/20260708-062904_p64_i300,1,0.5118963231841411,-7.848399002587066,a1p41_b1p41,B30,3,C,c0,"[3.0, 5.999805285550391, 17.998967958973328, 3.912985476918596]",0.5097488432890352,-0.002147479895105886,2.8468835017386666e-18,-7.848392509059101,17.998967958973328,5.999805285550391,3.0,-0.4498111567109647,-0.4881751567109648,valid
a1p41_b1p41|output/experiments/B30_c30_a1p41_b1p41/20260708-062153_p64_i300|1|0.5119174,output/experiments/B30_c30_a1p41_b1p41/20260708-062153_p64_i300,1,0.5119173631859847,-8.599852253066215,a1p41_b1p41,B30,3,C,c0,"[3.0, 5.999823421412726, 17.99903136946623, 3.916088625010538]",0.5109020969435706,-0.0010152662424141035,8.363643555248888e-19,-8.599843428512322,17.99903136946623,5.999823421412726,3.0,-0.4486579030564294,-0.48702190305642945,valid
a1p41_b1p41|output/experiments/B30_c30_a1p41_b1p41/20260708-061443_p64_i300|1|0.5140999,output/experiments/B30_c30_a1p41_b1p41/20260708-061443_p64_i300,1,0.514099886427319,-8.514727132208144,a1p41_b1p41,B30,3,C,c0,"[3.0, 5.999828179858538, 17.999077947447876, 3.9146359362837853]",0.5134371823569958,-0.0006627040703232057,4.160322856521703e-19,-8.514705980972035,17.999077947447876,5.999828179858538,3.0,-0.4461228176430042,-0.4844868176430043,valid
a1p41_b1p41|output/experiments/B30_c30_a1p41_b1p41/20260708-060025_p64_i300|1|0.5193357,output/experiments/B30_c30_a1p41_b1p41/20260708-060025_p64_i300,1,0.5193356897041191,-8.461179117761013,a1p41_b1p41,B30,3,C,c0,"[3.0, 5.999891674096137, 17.999395620396726, 3.825734714026387]",0.5193584362223644,2.2746518245297942e-05,9.632120612732656e-20,-8.45886926526677,17.999395620396726,5.999891674096137,3.0,-0.44020156377763553,-0.4785655637776356,valid
a1p41_b1p41|output/experiments/B30_c30_a1p41_b1p41/20260708-055314_p64_i300|64|0.5210448,output/experiments/B30_c30_a1p41_b1p41/20260708-055314_p64_i300,64,0.521044754570173,-8.491823850426522,a1p41_b1p41,B30,3,C,c0,"[3.0, 5.999920019247526, 17.9995223726527, 3.8226306190767865]",0.5206225647668338,-0.0004221898033391902,6.613130865912028e-20,-8.484946336321535,17.9995223726527,5.999920019247526,3.0,-0.4389374352331662,-0.47730143523316626,valid
a1p41_b1p41|output/experiments/B30_c30_a1p41_b1p41/20260709-202216_p64_i300|64|0.5226685,output/experiments/B30_c30_a1p41_b1p41/20260709-202216_p64_i300,64,0.5226684903072275,-8.214968589692658,a1p41_b1p41,B30,3,C,c1,"[3.0, 5.999911577538428, 17.999488504112144, 3.8027404826258167]",0.5222113123028704,-0.0004571780043570728,3.6314343151605157e-20,-8.208202917947318,17.999488504112144,5.999911577538428,3.0,-0.43734868769712953,-0.4757126876971296,valid
a1p41_b1p41|output/experiments/B30_c30_a1p41_b1p41/20260708-060025_p64_i300|17|0.5227564,output/experiments/B30_c30_a1p41_b1p41/20260708-060025_p64_i300,17,0.5227564439751035,-8.368195739142848,a1p41_b1p41,B30,3,C,c0,"[3.0, 5.999917175385994, 17.99951224911922, 3.8138183313117917]",0.5219883898946249,-0.0007680540804785307,5.1872157688820564e-20,-8.361293774124327,17.99951224911922,5.999917175385994,3.0,-0.43757161010537504,-0.4759356101053751,valid
a1p41_b1p41|output/experiments/B30_c30_a1p41_b1p41/20260709-202208_p64_i300|64|0.5228441,output/experiments/B30_c30_a1p41_b1p41/20260709-202208_p64_i300,64,0.5228441248375524,-7.048549798949001,a1p41_b1p41,B30,3,C,c1,"[3.0, 5.999917481123969, 18.9825008990693, 3.8126767776083454]",0.5223576457390424,-0.00048647909850996207,4.1102282414816084e-20,-7.035722971697659,18.9825008990693,5.999917481123969,3.0,-0.43720235426095755,-0.4755663542609576,valid
a1p41_b1p41|output/experiments/B30_c30_a1p41_b1p41/20260708-060736_p64_i300|9|0.5229436,output/experiments/B30_c30_a1p41_b1p41/20260708-060736_p64_i300,9,0.5229436280867569,-8.471379534347998,a1p41_b1p41,B30,3,C,c0,"[3.0, 5.999912120699125, 17.999474306096875, 3.8134017614881195]",0.5225799818345533,-0.0003636462522035311,8.136397442775737e-20,-8.468245774112088,17.999474306096875,5.999912120699125,3.0,-0.4369800181654466,-0.4753440181654467,valid
a1p41_b1p41|output/experiments/B30_c30_a1p41_b1p41/20260708-054603_p64_i300|1|0.5230066,output/experiments/B30_c30_a1p41_b1p41/20260708-054603_p64_i300,1,0.5230065503612326,-8.243870790820237,a1p41_b1p41,B30,3,C,c0,"[3.0, 5.999913080193215, 17.999492268590355, 3.797374511166254]",0.5231836035919484,0.0001770532307158179,3.137760362875379e-20,-8.237400061705287,17.999492268590355,5.999913080193215,3.0,-0.4363763964080516,-0.47474039640805166,valid
