group,design,depth,exp_O,vs_gaussian,Nc_before,Nc_after,prob_before,prob_after,prob_gain,sqdb_before,sqdb_after,negvol_before,negvol_after,han_valid,after_source,provenance
B30_c30_a2p73_b1p41,B30,5,0.49139006677328806,-0.5979259332267111,17,9,6.679174243292592e-06,0.000427873773955,97.33066276621979,16.580066718986693,13.02541456167622,3.139164821896722,2.320367479984784,True,architecture_rule,output/experiments/B30_c30_a2p73_b1p41/20260706-010144_p64_i300#64
B30_c30_a2p73_b1p41,B30,5,0.491410236000528,-0.597905763999471,17,9,6.430433731183826e-06,0.00042581026792400003,96.55341289364019,16.609093726351617,13.002934281685361,3.137677568686212,2.300895725293545,True,architecture_rule,output/experiments/B30_c30_a2p73_b1p41/20260707-053157_p64_i800#10707
B30_c30_a2p73_b1p41,B30,5,0.491410236000528,-0.597905763999471,17,9,6.430433731183826e-06,0.00042581026792400003,96.55341289364019,16.609093726351617,13.002934281685361,3.137677568686212,2.300895725293545,True,architecture_rule,output/experiments/B30_c30_a2p73_b1p41/20260706-003742_p64_i300#64
B30_c30_a2p73_b1p41,B30,5,0.49144407823738506,-0.5978719217626141,17,9,6.870500776748407e-06,0.00042658958560100004,96.2453213269354,16.533775622989648,13.021352219926074,3.138302098651525,2.321489610674663,True,architecture_rule,output/experiments/B30_c30_a2p73_b1p41/20260707-102644_p64_i300#17
B30_c30_a2p73_b1p41,B30,5,0.491875984015371,-0.597440015984628,17,9,2.273557244585912e-05,0.0006177253223010001,26.868531565371477,16.19232075893961,13.149121454662675,3.15358911343452,2.359691029748523,True,architecture_rule,output/experiments/B30_c30_a2p73_b1p41/20260706-001339_p64_i300#41
B30_c30_a2p73_b1p41,B30,5,0.491888517231695,-0.597427482768304,17,9,2.2778043191312212e-05,0.0006161448790590001,26.716880650324725,16.166030222038938,13.145406563242979,3.153552334391907,2.359481497703657,True,architecture_rule,output/experiments/B30_c30_a2p73_b1p41/20260706-010148_p64_i300#33
B30_c30_a2p73_b1p41,B30,5,0.49189542328540803,-0.597420576714591,17,9,2.281887363114395e-05,0.000616913936416,26.688734030263745,16.158851804252986,13.146490084492713,3.153091925434461,2.360509005795773,True,architecture_rule,output/experiments/B30_c30_a2p73_b1p41/20260707-053157_p64_i800#10705
B30_c30_a2p73_b1p41,B30,5,0.49189542328540803,-0.597420576714591,17,9,2.281887363114395e-05,0.000616913936416,26.688734030263745,16.158851804252986,13.146490084492713,3.153091925434461,2.360509005795773,True,architecture_rule,output/experiments/B30_c30_a2p73_b1p41/20260706-010144_p64_i300#33
B30_c30_a2p73_b1p41,B30,5,0.49207770949836205,-0.597238290501637,17,9,2.29718226773409e-05,0.00062167885454,26.5286504585908,16.132109686606373,13.161258719405222,3.1541873158495672,2.360435103650393,True,architecture_rule,output/experiments/B30_c30_a2p73_b1p41/20260706-014128_p64_i300#49
B30_c30_a2p73_b1p41,B30,5,0.49244696703442203,-0.596869032965577,17,9,2.330993511570232e-05,0.000622099397231,26.39033112825471,16.14519858070789,13.15677334402777,3.152480801804894,2.368569684514627,True,architecture_rule,output/experiments/B30_c30_a2p73_b1p41/20260706-012550_p64_i300#33
