root,group,run,cell_idx,design,depth,modes,pnr_max,target_alpha,target_beta,exp_stored,exp_lo,exp_hi,herald_norm,herald_norm_lo,prob,logP,herald_prob_full,active_modes,max_pnr,total_photons,fired_modes,fp_budget,indep_fidelity,wigner_negvol,gs_eig,gaussian_limit,vs_gs,vs_gaussian,scorer_backend,moment_fast,is_artifact,artifact_reason,target_source,n_skipped_cells
experiments,00B_c30_a1p41_b1p41,20260614-142849_p64_i2500,502,00B,3,3,15,(1.4142+0j),(1+1j),1.0192724691884065,1.0275031625736062,1.0189077128212558,0.9999922612452724,0.9938871630987682,1.0,0.0,0.9999794126780746,2,0,0,0,1,1.0000000000000004,,0.10570949967462662,0.9595598855126357,0.9131982131466292,0.059347827308620094,breeding_fock,False,False,,alpha=config+beta=config,141
experiments,00B_c30_a1p41_b1p41,20260614-142849_p64_i2500,706,00B,3,3,15,(1.4142+0j),(1+1j),1.0305466326425834,1.0384335638003257,1.0302347961025113,0.9999941117971436,0.9943334463626768,0.04015134427486553,-1.3962999098776265,0.04011948441053091,2,15,15,1,16,0.9999999999999996,,0.10570949967462662,0.9595598855126357,0.9245252964278847,0.07067491058987563,breeding_fock,False,False,,alpha=config+beta=config,141
experiments,00B_c30_a1p41_b1p41,20260614-142849_p64_i2500,751,00B,3,3,15,(1.4142+0j),(1+1j),1.0377703004861014,1.04068975016926,1.0377278040976758,0.9999996270190091,0.9985956888429097,1.0,0.0,0.9999993014819127,3,0,0,0,1,,,0.10570949967462662,0.9595598855126357,0.9320183044230492,0.07816791858504013,breeding_fock,False,False,,alpha=config+beta=config,141
experiments,00B_c30_a1p41_b1p41,20260614-142849_p64_i2500,1252,00B,3,3,15,(1.4142+0j),(1+1j),1.0333656217615952,1.0428282595868061,1.032148477388639,0.9999352009814193,0.9822815598718072,1.0,0.0,0.999761874312365,5,0,0,0,1,,,0.10570949967462662,0.9595598855126357,0.9264389777140123,0.0725885918760032,breeding_fock,False,False,,alpha=config+beta=config,141
experiments,00B_c30_a1p41_b1p41,20260614-142849_p64_i2500,1300,00B,3,3,15,(1.4142+0j),(1+1j),1.0225889895158757,1.0225889890879354,1.0225889895158748,1.0,0.9999999999999869,0.01318924474104693,-1.8797800728529415,0.006292283988351116,5,3,5,2,12,,,0.10570949967462662,0.9595598855126357,0.9168794898412482,0.06302910400323913,breeding_fock,False,False,,alpha=config+beta=config,141
experiments,00B_c30_a1p41_b1p41,20260614-142849_p64_i2500,1301,00B,3,3,15,(1.4142+0j),(1+1j),1.020340872593934,1.0202296373785789,1.020340872063294,0.9999999999999994,0.9999932096137027,0.0004985535052930862,-3.3022882259048174,0.00011190405995942464,5,2,4,3,12,,,0.10570949967462662,0.9595598855126357,0.9146313723886674,0.060780986550658334,breeding_fock,False,False,,alpha=config+beta=config,141
experiments,00B_c30_a1p41_b1p41,20260614-142849_p64_i2500,1303,00B,3,3,15,(1.4142+0j),(1+1j),0.9211077895234249,0.9211077948383574,0.9211077895234245,1.0,0.9999999999977899,0.00780239880547114,-2.1077718552817233,0.0038220301218781787,5,2,6,3,27,,0.49072612888683503,0.10570949967462662,0.9595598855126357,0.8153982898487979,-0.03845209598921118,breeding_fock,False,False,,alpha=config+beta=config,141
experiments,00B_c30_a1p41_b1p41,20260614-142849_p64_i2500,1304,00B,3,3,15,(1.4142+0j),(1+1j),0.9591023722883614,0.9591023763935889,0.9591023722883615,1.0,0.9999999999945466,0.007944705896289093,-2.0999221752322956,0.004049360408063451,5,2,6,3,27,,,0.10570949967462662,0.9595598855126357,0.8533928726137349,-0.0004575132242742308,breeding_fock,False,False,,alpha=config+beta=config,141
experiments,00B_c30_a2p73_b1p41,20260616-165402_p64_i2500,551,00B,3,3,15,(2.7320508+0j),(1+1j),0.7599791663944987,0.7599791663713132,0.759979166369331,1.0,0.9999999999999998,0.004351551084018669,-2.3613559138129863,0.002560918683322574,2,4,6,2,15,0.9999999999999998,1.1678163448537593,0.10285636870568209,1.0893163965535737,0.657122797663649,-0.32933723018424266,moment,False,False,,alpha=config+beta=empirical,130
experiments,00B_c30_a2p73_b1p41,20260616-165402_p64_i2500,803,00B,3,3,15,(2.7320508+0j),(1+1j),0.6507648815617434,0.6507648820270859,0.6507648818232077,1.0,0.9999999999999999,9.179925296346614e-05,-4.037160852950876,3.3411526663229833e-06,3,4,8,3,45,0.9999999999999998,1.2570082322491962,0.10285636870568209,1.0893163965535737,0.5479085131175256,-0.438551514730366,moment,False,False,,alpha=config+beta=empirical,130
experiments,00B_c30_a2p73_b1p41,20260616-165402_p64_i2500,804,00B,3,3,15,(2.7320508+0j),(1+1j),0.6507648815617434,0.6507648820270859,0.6507648818232077,1.0,0.9999999999999999,9.179925296346614e-05,-4.037160852950876,3.3411526663229833e-06,3,4,8,3,45,,1.2570082322491962,0.10285636870568209,1.0893163965535737,0.5479085131175256,-0.438551514730366,moment,False,False,,alpha=config+beta=empirical,130
